ID,Name,Company,Version,Plugin Name,Plugin Type,Instrument Type,Synthesis Type,Gentle/ Aggressive,Acoustic/Electronic,Vintage/Modern,Quiet/Loud,Warm/Clean,Dark/Bright,Static/Dynamic,Thin/Thick,Low/Mid/High,Slow/Fast,Single/Split,One_Shot/Sequential,Atonal/Tonal,Monophonic/Polyphonic,특징
24,BA BitterBot [LCV],Xfer,,Serum,VST,Bass(Hard),,Gentle,Electronic,Modern,Quiet,Warm,Bright,Static or Dynamic,Thin,Mid,Fast,Single,One_Shot,,,
25,BA BlackMask [7S],Xfer,,Serum,VST,Bass(Hard),,Aggressive,Electronic,Modern,Loud,Clean,Bright,Static,Thick,Mid,Fast,Single,One_Shot,,,
26,BA BotWerx [LCV],Xfer,,Serum,VST,Bass(Hard),,Aggressive,Electronic,Modern,Loud,Clean,Bright,Static or Dynamic,Thick,Mid,Fast,Single,One_Shot,Tonal,Monophonic,Snail bass Lfo 
27,BA Complextro 1 [CFA],Xfer,,Serum,VST,Bass(Hard),,Aggressive,Electronic,Modern,Loud,Warm,Dark,Static or Dynamic,Thick,Low,Fast,Single,One_Shot,Tonal,Monophonic,David Guetta sweat type bass
28,BA Complextro 2 [CFA],Xfer,,Serum,VST,Bass(Hard),,Aggressive,Electronic,Modern,Loud,Warm,Bright,Static,Thick,Low,Fast,Single,One_Shot,Tonal,Monophonic,David Guetta sweat type bass
29,BA CrowdScream Bass [ASL],Xfer,,Serum,VST,Bass(Hard),,Aggressive,Electronic,Modern,Loud,Warm,Bright,Static,Thin,High,Fast,Single,One_Shot,Tonal,Monophonic,Rsonance noise filtered
30,BA Dark Weight DnB [ASL],Xfer,,Serum,VST,Bass(Hard),,Aggressive,Electronic,Modern,Loud,Warm,Dark,Static,Thick,Low,Fast,Single,One_Shot,Tonal,Monophonic,Big fat low freq phasor
31,LD 8bitcycle [AF],Xfer,,Serum,VST,Leads,,Aggressive,Electronic,Modern,Quiet,Warm,Dark,Dynamic,Thick,High,,Single,One_Shot,,,
32,LD A Bit of Luck [SD],Xfer,,Serum,VST,Leads,,Gentle,Electronic,Vintage,Quiet,Warm,Dark,Static,Thin,Mid,,Single,One_Shot,,,
33,LD Analogesque [EE],Xfer,,Serum,VST,Leads,,Aggressive,Electronic,Vintage,Quiet,Warm,Dark,Static,Thick,Low,,Single,One_Shot,,,
34,LD Araba [7S],Xfer,,Serum,VST,Leads,,Gentle,Electronic,Modern,Quiet,Clean,Bright,Dynamic,Thin,High,,Single,One_Shot,,,
35,LD Bendy Metal [DK],Xfer,,Serum,VST,Leads,,Aggressive,Electronic,Modern,Loud,Warm,Bright,Dynamic,Thick,High,,Single,One_Shot,,,
36,LD Bionic Squirrel [BS],Xfer,,Serum,VST,Leads,,Aggressive,Electronic,Modern,Loud,Clean,Bright,Static or Dynamic,Thick,High,Fast,Single,One_Shot,Tonal,,
37,LD Birth Of Electro [FP],Xfer,,Serum,VST,Leads,,Gentle,Electronic,Modern,Quiet,Warm,Bright,Static,Thick,Mid,Fast,Single,One_Shot,Tonal,,Plucky bass
38,LD booty [AF],Xfer,,Serum,VST,Leads,,Aggressive,Electronic,Modern,Loud,Warm,Bright,Static,Thick,Mid,Fast,Single,One_Shot,Tonal,,
39,LD BottleBlower [SD],Xfer,,Serum,VST,Leads,,Gentle,Acoustic,Modern,Quiet,Warm,Dark,Static,Thin,Mid,Fast,Single,One_Shot,Tonal,,bottle flute 
40,LD BraveHeart [7S],Xfer,,Serum,VST,Leads,,Aggressive,Electronic,Modern,Loud,Warm,Bright,Static,Thick,Mid,Fast,Single,One_Shot,Tonal,,
41,LD Brutality [FN],Xfer,,Serum,VST,Leads,,Aggressive,Electronic,Vintage,Quiet,Warm,Dark,Static,Thick,Low,Fast,Single,One_Shot,Tonal,Monophonic,
42,LD C64 Lead [AS],Xfer,,Serum,VST,Leads,,Aggressive,Electronic,Modern,Loud,Clean,Bright,Static,Thick,High,Fast,Single,One_Shot,Tonal,Monophonic,
43,LD Caliber [SD],Xfer,,Serum,VST,Leads,,Gentle,Electronic,Vintage,Quiet,Warm,Bright,Static,Thin,Low,Slow,Single,One_Shot,Tonal,Monophonic,reson filter
44,LD Clang [SD],Xfer,,Serum,VST,Leads,,Gentle,Electronic,Vintage,Quiet,Clean,Bright,Static,Thick,Mid,Fast,Single,One_Shot,Tonal,Monophonic,
45,LD Cripple [JD],Xfer,,Serum,VST,Leads,,Gentle,Electronic,Modern,Quiet,Clean,Bright,Static,Thin,High,Fast,Single,One_Shot,Tonal,Polyphonic,Moskito sound
